file,condition,mean,std,min,max,n_turns
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.6642753891646862,0.09469874197494704,0.49665167927742004,0.7970229983329773,8
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.5844659879803658,0.0987125286459969,0.38941752910614014,0.7030067443847656,8
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.59549380838871,0.07085511925442979,0.4724917411804199,0.6842032670974731,8
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.6075362339615822,0.047224613373044864,0.5225368142127991,0.6716806888580322,8
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.6092272885143757,0.08737695428138198,0.4331749975681305,0.7446892857551575,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.5777925811707973,0.08739896302932926,0.41781869530677795,0.6829378604888916,8
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.6104759760200977,0.08075112891201076,0.4871661365032196,0.7724644541740417,8
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.6388538926839828,0.128302063076544,0.44190627336502075,0.8060874342918396,8
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.6074465289711952,0.13683643516982186,0.3270919620990753,0.748261034488678,8
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.567278902977705,0.05878211489878411,0.4794052541255951,0.6589315533638,8
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.6129621937870979,0.056854067778888386,0.5421075820922852,0.6834125518798828,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.6057104021310806,0.058024922634066056,0.5241641402244568,0.7167741656303406,8
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.6105855070054531,0.08942142465221954,0.43275484442710876,0.741629958152771,8
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.5913492292165756,0.08788769436506816,0.4022647738456726,0.7427386045455933,8
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.6601208262145519,0.14867042037638803,0.3074171841144562,0.7864413857460022,8
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,scaffold,0.6189170002937316,0.0602028488472369,0.5202800035476685,0.7459691166877747,10
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,scaffold,0.5509536504745484,0.10115597623627852,0.38206344842910767,0.7354759573936462,10
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,scaffold,0.5739993155002594,0.1225085860034516,0.308926522731781,0.6922474503517151,10
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,scaffold,0.5662589172522227,0.10919097000123154,0.4204446077346802,0.7399675846099854,9
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,scaffold,0.6386797070503235,0.14213920321397885,0.3109084963798523,0.8179771304130554,10
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,scaffold,0.5033148716796528,0.19437842741823888,0.19194453954696655,0.7479750514030457,11
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,scaffold,0.550945594906807,0.12440584585858537,0.28543850779533386,0.7401301264762878,10
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,scaffold,0.569483757019043,0.06608395807734306,0.47628867626190186,0.6692202091217041,11
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,scaffold,0.6348529189825058,0.12983751898728696,0.3411025106906891,0.7899291515350342,10
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,scaffold,0.6080873148007826,0.08697587589579647,0.3887224495410919,0.7087621092796326,11
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,scaffold,0.6903724724596197,0.11818234688602626,0.3909028172492981,0.7909268140792847,11
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,scaffold,0.5827737574776014,0.09268629257143948,0.45154064893722534,0.724496066570282,12
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,scaffold,0.6255362903078397,0.0995180596224058,0.40456533432006836,0.7540441155433655,12
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,scaffold,0.5975846111774444,0.08696039427035025,0.43822988867759705,0.7292528748512268,10
